Timestamp,Month,Day,Hour,Total Hours,Load,PV,Emission_factor,Tou_Tariff,FiT,H2_Tariff
01/01/2023,1,0,0,0,882,0,223,0.00201,0.001005,5.667482336
01/01/2023,1,0,1,1,826,0,223,0.00138,0.00069,3.152576656
01/01/2023,1,0,2,2,905,0,223,0.00009,0.000045,3.3740184
01/01/2023,1,0,3,3,1026,0,223,0.00008,0.00004,4.050979408
01/01/2023,1,0,4,4,943,0,223,0.00005,0.000025,4.065951216
01/01/2023,1,0,5,5,980,0,223,0.00003,0.000015,5.760576064
01/01/2023,1,0,6,6,992,0,223,-0.00021,-0.000105,5.760576064
01/01/2023,1,0,7,7,1026,291.306,223,0.00019,0.000095,5.760576064
01/01/2023,1,0,8,8,1351,129.492,223,0.00074,0.00037,2.51328904
01/01/2023,1,0,9,9,1371,1764.53,223,0.00118,0.00059,4.454955552
01/01/2023,1,0,10,10,1249,1076.63,223,0.00215,0.001075,5.440520448
01/01/2023,1,0,11,11,1323,1634.29,223,0.00236,0.00118,2.631281952
01/01/2023,1,0,12,12,1287,852.871,223,0.00236,0.00118,4.93466272
01/01/2023,1,0,13,13,1357,1249.3,223,0.0022,0.0011,2.98432512
01/01/2023,1,0,14,14,1335,2311.77,223,0.00733,0.003665,3.466133072
01/01/2023,1,0,15,15,1055,998.37,223,0.02376,0.01188,2.192668464
01/01/2023,1,0,16,16,1062,0,223,0.03654,0.01827,4.083387792
01/01/2023,1,0,17,17,995,0,223,0.04603,0.023015,3.466425136
01/01/2023,1,0,18,18,1023,0,223,0.05557,0.027785,5.389099264
01/01/2023,1,0,19,19,855,0,223,0.05495,0.027475,4.31326432
01/01/2023,1,0,20,20,891,0,223,0.04923,0.024615,5.591481312
01/01/2023,1,0,21,21,899,0,223,0.04499,0.022495,5.760576064
01/01/2023,1,0,22,22,914,0,223,0.04596,0.02298,3.292278048
02/01/2023,1,0,23,23,920,0,223,0.035,0.0175,4.324456144
02/01/2023,1,1,0,24,910,0,223,0.05791,0.028955,4.224914
02/01/2023,1,1,1,25,851,0,223,0.05167,0.025835,1.924003376
02/01/2023,1,1,2,26,830,0,223,0.0529,0.02645,5.760576064
02/01/2023,1,1,3,27,911,0,223,0.04416,0.02208,5.61281016
02/01/2023,1,1,4,28,860,0,223,0.05008,0.02504,2.705088128
02/01/2023,1,1,5,29,929,0,223,0.07469,0.037345,2.565888304
02/01/2023,1,1,6,30,864,0,223,0.1047,0.05235,1.967111328
02/01/2023,1,1,7,31,913,0,223,0.14064,0.07032,5.760576064
02/01/2023,1,1,8,32,928,141.201,223,0.14598,0.07299,4.41054288
02/01/2023,1,1,9,33,854,285.988,223,0.14705,0.073525,5.760576064
02/01/2023,1,1,10,34,813,1273.07,223,0.14561,0.072805,3.348113744
02/01/2023,1,1,11,35,831,2577.85,223,0.14335,0.071675,2.446990368
02/01/2023,1,1,12,36,896,1291.52,223,0.14438,0.07219,5.460516832
02/01/2023,1,1,13,37,1130,841.21,223,0.14376,0.07188,4.224340928
02/01/2023,1,1,14,38,1051,792.398,223,0.1482,0.0741,2.300707232
02/01/2023,1,1,15,39,1143,955.458,223,0.15534,0.07767,4.580990464
02/01/2023,1,1,16,40,1080,1252.04,223,0.16289,0.081445,4.840808096
02/01/2023,1,1,17,41,1299.9375,0,223,0.17,0.085,3.217806576
02/01/2023,1,1,18,42,1325.9375,0,223,0.17474,0.08737,4.13275296
02/01/2023,1,1,19,43,1289.9375,0,223,0.16446,0.08223,4.889895808
02/01/2023,1,1,20,44,1287.9375,0,223,0.153,0.0765,2.815128672
02/01/2023,1,1,21,45,1299.9375,0,223,0.14167,0.070835,4.168922608
02/01/2023,1,1,22,46,1321.9375,0,223,0.13367,0.066835,4.791154832
03/01/2023,1,1,23,47,1112,0,223,0.12191,0.060955,1.959636832
03/01/2023,1,2,0,48,1212,0,223,0.11112,0.05556,2.418738304
03/01/2023,1,2,1,49,1271,0,223,0.10332,0.05166,5.60479616
03/01/2023,1,2,2,50,1382,0,223,0.10273,0.051365,5.760576064
03/01/2023,1,2,3,51,1364,0,223,0.09944,0.04972,4.248079424
03/01/2023,1,2,4,52,1406,0,223,0.09911,0.049555,4.71722456
03/01/2023,1,2,5,53,1381,0,223,0.10214,0.05107,4.662117248
03/01/2023,1,2,6,54,1391,0,223,0.12531,0.062655,2.855751648
03/01/2023,1,2,7,55,1303,0.560757,223,0.15807,0.079035,4.797840112
03/01/2023,1,2,8,56,1358,89.7334,223,0.16721,0.083605,3.147326336
03/01/2023,1,2,9,57,1381,1008.19,223,0.16963,0.084815,4.903481408
03/01/2023,1,2,10,58,1389,3663.83,223,0.16857,0.084285,5.059834528
03/01/2023,1,2,11,59,1330,3542.46,223,0.16949,0.084745,2.8130488
03/01/2023,1,2,12,60,1484.85,4161.24,223,0.1645,0.08225,3.26087184
03/01/2023,1,2,13,61,1536.85,3735.08,223,0.16091,0.080455,5.760576064
03/01/2023,1,2,14,62,1690.85,2530.85,223,0.16306,0.08153,5.112621152
03/01/2023,1,2,15,63,1789.85,1718.21,223,0.16773,0.083865,5.736048144
03/01/2023,1,2,16,64,1385,1315.54,223,0.16661,0.083305,1.816077968
03/01/2023,1,2,17,65,1427,0,223,0.17072,0.08536,3.146770896
03/01/2023,1,2,18,66,1310,0,223,0.16893,0.084465,4.2170264
03/01/2023,1,2,19,67,1500,0,223,0.16099,0.080495,3.18673752
03/01/2023,1,2,20,68,1591,0,223,0.14962,0.07481,3.396840896
03/01/2023,1,2,21,69,1629,0,223,0.13101,0.065505,3.977510768
03/01/2023,1,2,22,70,1548,0,223,0.11427,0.057135,2.901453664
04/01/2023,1,2,23,71,1581,0,223,0.09366,0.04683,2.384044576
04/01/2023,1,3,0,72,1698,0,223,0.08164,0.04082,1.777118896
04/01/2023,1,3,1,73,1668,0,223,0.07371,0.036855,4.53259448
04/01/2023,1,3,2,74,1688,0,223,0.05112,0.02556,2.738594352
04/01/2023,1,3,3,75,1665,0,223,0.03018,0.01509,4.762347712
04/01/2023,1,3,4,76,1662,0,223,0.02558,0.01279,1.828946336
04/01/2023,1,3,5,77,1743,0,223,0.03584,0.01792,1.744434816
04/01/2023,1,3,6,78,1776,0,223,0.06799,0.033995,5.726676784
04/01/2023,1,3,7,79,1672,38.0796,223,0.08072,0.04036,2.305429936
