Timestamp,Month,Day,Hour,Total Hours,Load,PV,Emission_factor,Tou_Tariff,FiT,H2_Tariff
01/01/2023,1,0,0,0,882,0,54,0,0,5.667482336
01/01/2023,1,0,1,1,826,0,54,-0.0001,-0.00005,3.152576656
01/01/2023,1,0,2,2,905,0,54,-0.00133,-0.000665,3.3740184
01/01/2023,1,0,3,3,1026,0,54,-0.00408,-0.00204,4.050979408
01/01/2023,1,0,4,4,943,0,54,-0.00416,-0.00208,4.065951216
01/01/2023,1,0,5,5,980,0,54,-0.00358,-0.00179,5.760576064
01/01/2023,1,0,6,6,992,0,54,-0.00437,-0.002185,5.760576064
01/01/2023,1,0,7,7,1026,0,54,-0.00012,-0.00006,5.760576064
01/01/2023,1,0,8,8,1351,316.209,54,-0.00006,-0.00003,2.51328904
01/01/2023,1,0,9,9,1371,2914.98,54,0,0,4.454955552
01/01/2023,1,0,10,10,1249,5264.46,54,0,0,5.440520448
01/01/2023,1,0,11,11,1323,5874.81,54,0,0,2.631281952
01/01/2023,1,0,12,12,1287,5959.42,54,0,0,4.93466272
01/01/2023,1,0,13,13,1357,5570.41,54,0.0001,0.00005,2.98432512
01/01/2023,1,0,14,14,1335,4669.68,54,0.0015,0.00075,3.466133072
01/01/2023,1,0,15,15,1055,3150.69,54,0.0235,0.01175,2.192668464
01/01/2023,1,0,16,16,1062,906.962,54,0.03654,0.01827,4.083387792
01/01/2023,1,0,17,17,995,0,54,0.04603,0.023015,3.466425136
01/01/2023,1,0,18,18,1023,0,54,0.04443,0.022215,5.389099264
01/01/2023,1,0,19,19,855,0,54,0.05495,0.027475,4.31326432
01/01/2023,1,0,20,20,891,0,54,0.04738,0.02369,5.591481312
01/01/2023,1,0,21,21,899,0,54,0.04024,0.02012,5.760576064
01/01/2023,1,0,22,22,914,0,54,0.04596,0.02298,3.292278048
02/01/2023,1,0,23,23,920,0,54,0.035,0.0175,4.324456144
02/01/2023,1,1,0,24,910,0,54,0.06138,0.03069,4.224914
02/01/2023,1,1,1,25,851,0,54,0.05268,0.02634,1.924003376
02/01/2023,1,1,2,26,830,0,54,0.05293,0.026465,5.760576064
02/01/2023,1,1,3,27,911,0,54,0.04275,0.021375,5.61281016
02/01/2023,1,1,4,28,860,0,54,0.05008,0.02504,2.705088128
02/01/2023,1,1,5,29,929,0,54,0.06791,0.033955,2.565888304
02/01/2023,1,1,6,30,864,0,54,0.10508,0.05254,1.967111328
02/01/2023,1,1,7,31,913,0,54,0.14064,0.07032,5.760576064
02/01/2023,1,1,8,32,928,2172.22,54,0.1498,0.0749,4.41054288
02/01/2023,1,1,9,33,854,2598.07,54,0.15466,0.07733,5.760576064
02/01/2023,1,1,10,34,813,2408,54,0.14561,0.072805,3.348113744
02/01/2023,1,1,11,35,831,5792.39,54,0.14335,0.071675,2.446990368
02/01/2023,1,1,12,36,896,5881.55,54,0.14438,0.07219,5.460516832
02/01/2023,1,1,13,37,1130,5480.52,54,0.14376,0.07188,4.224340928
02/01/2023,1,1,14,38,1051,4557.9,54,0.1482,0.0741,2.300707232
02/01/2023,1,1,15,39,1143,3067.43,54,0.15534,0.07767,4.580990464
02/01/2023,1,1,16,40,1080,914.286,54,0.16317,0.081585,4.840808096
02/01/2023,1,1,17,41,1299.9375,0,54,0.1738,0.0869,3.217806576
02/01/2023,1,1,18,42,1325.9375,0,54,0.17474,0.08737,4.13275296
02/01/2023,1,1,19,43,1289.9375,0,54,0.16576,0.08288,4.889895808
02/01/2023,1,1,20,44,1287.9375,0,54,0.153,0.0765,2.815128672
02/01/2023,1,1,21,45,1299.9375,0,54,0.14167,0.070835,4.168922608
02/01/2023,1,1,22,46,1321.9375,0,54,0.13491,0.067455,4.791154832
03/01/2023,1,1,23,47,1112,0,54,0.12422,0.06211,1.959636832
03/01/2023,1,2,0,48,1212,0,54,0.13001,0.065005,2.418738304
03/01/2023,1,2,1,49,1271,0,54,0.12,0.06,5.60479616
03/01/2023,1,2,2,50,1382,0,54,0.11876,0.05938,5.760576064
03/01/2023,1,2,3,51,1364,0,54,0.115,0.0575,4.248079424
03/01/2023,1,2,4,52,1406,0,54,0.11363,0.056815,4.71722456
03/01/2023,1,2,5,53,1381,0,54,0.11627,0.058135,4.662117248
03/01/2023,1,2,6,54,1391,0,54,0.13892,0.06946,2.855751648
03/01/2023,1,2,7,55,1303,0,54,0.15992,0.07996,4.797840112
03/01/2023,1,2,8,56,1358,688.044,54,0.16917,0.084585,3.147326336
